#,FECHA,MES,A—O,HORA,CAUSAS DE SINIESTRO,TIPOLOGIA,FALLECIDOS,LESIONADOS,ZONA,TIPO ZONA,PARROQUIA,CIRCUITO,TIPO DE VEH√çCULO,TIPO VEH√çCULO 2,TIPO VEH√çCULO 2 2,DIRECCI”N,GRUPO,LATITUD,LONGITUD,# PARTE,DIA
1441,12/2/2015,FEBRERO,2015,19:36,EXCESO DE VELOCIDAD,CHOQUE FRONTAL,1,1,NORTE,RURAL,NULTI,S/D,,S/D,S/D,DEL BOMBERO, ENTRADA A CHAULLABAMBA ,C,-2.850695,-78.910632,7274,JUEVES
1468,24/2/2015,FEBRERO,2015,16:45,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,1,NORTE,URBANO,GIL RAMIREZ DAVALOS ,S/D,,S/D,S/D,TARQUI Y PRESIDENTE CORDOVA,D,-2.898015,-78.981411,7431,MARTES
1565,18/4/2015,ABRIL,2015,4:23,EXCESO DE VELOCIDAD,ESTRELLAMIENTO,1,0,NORTE,URBANO,MACHANGARA,S/D,,S/D,S/D,VIA AL SALADO ,A,-2.837593,-79.008125,8187,SABADO
1583,22/4/2015,ABRIL,2015,14:57,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,SUR,URBANO,EL BATAN ,S/D,,S/D,S/D,12 DE ABRIL Y FLORENCIA ASTUDILLO,A,-2.889270,-79.022368,8273,MIERCOLES
1598,30/4/2015,ABRIL,2015,6:03,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,S/D,URBANO,TOTORACOCHA,S/D,,S/D,S/D,HURTADO DE MENDOZA E INCA TOPARPA,D,-2.885735,-78.976803,8438,JUEVES
1613,4/5/2015,MAYO,2015,17:46,IMPRUDENCIA DEL PEATON,ARROLLAMIENTO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,DON BOSCO Y FERNANDO DE ARAGON ,B,-2.915509,-79.018405,8522,LUNES
1647,17/5/2015,MAYO,2015,8:50,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,3,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,AUTOPISTA CUENCA-AZOGUES Y FELIPE II,D,-2.919489,-79.015868,8752,DOMINGO
1662,24/5/2015,MAYO,2015,12:00,EXCESO DE VELOCIDAD,CHOQUE FRONTAL,1,0,NORTE,RURAL,NULTI,S/D,,S/D,S/D,VIA A JADAN -SECTOR MINAS ,B,-2.889822,-78.928593,8849,DOMINGO
1674,30/5/2015,MAYO,2015,20:47,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,ISABEL LA CATOLICA ENTRE JOSE ZORRILLA Y FRANCISCO DE QUEVEDO ,D,-2.910656,-79.018550,8933,SABADO
1676,31/5/2015,MAYO,2015,11:30,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,SUR,RURAL,EL VALLE,S/D,,S/D,S/D,VIA AL VALLE -EL DESPACHO,A,-2.926306,-78.961361,8948,DOMINGO
1700,14/6/2015,JUNIO,2015,9:58,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,0,NORTE,RURAL,SAN JOAQUIN,S/D,,S/D,S/D,SOLDADOS JOSEFINA, SOLDADOS ,A,-2.91541,-79.132398,9156,DOMINGO
1706,17/6/2015,JUNIO,2015,7:54,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,NORTE,URBANO,EL VECINO,S/D,,S/D,S/D,AV. AM…RICAS Y ARMENILLAS,D,-2.886058,-78.995437,9193,MIERCOLES
1709,19/6/2015,JUNIO,2015,12:40,DA—OS MEC¡NICOS,ARROLLAMIENTO,1,0,NORTE,RURAL,PACCHA,S/D,,S/D,S/D,VÕA A PACCHA,D,-2.888388,-78.941195,9225,VIERNES
1735,27/6/2015,JUNIO,2015,15:30,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,ATROPELLO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,LOJA Y CANTON GUALACEO,A,-2.905841,-79.027402,9374,SABADO
1737,28/6/2015,JUNIO,2015,6:15,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,ESTRELLAMIENTO,1,0,NORTE,RURAL,HERMANO MIGUEL,S/D,,S/D,S/D,OCTAVIO CHACON Y  PRIMERA,B,-2.879767,-78.976204,9397,DOMINGO
1738,28/6/2015,JUNIO,2015,6:05,IMPRUDENCIA DEL PEATON,ATÕPICO,1,0,SUR,URBANO,HUAYNA CAPAC,S/D,,S/D,S/D,EL PARAISO Y 12 DE ABRIL,B,-2.898933,-79.010611,9398,DOMINGO
1741,29/6/2015,JUNIO,2015,21:06,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ARROLLAMIENTO,1,0,NORTE,RURAL,OCTAVIO CORDERO,S/D,,S/D,S/D,COMUNA ILLAPAMBA, A 4 KM DE LA ENTRADA AL UPC DE PARCOLOMA,D,,,9404,LUNES
1839,13/8/2015,AGOSTO,2015,16:10,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,0,S/D,RURAL,SANTA ANA,S/D,,S/D,S/D,VÕA A SANTA ANA,A,-2.936547,-78.920060,10135,JUEVES
1847,18/8/2015,AGOSTO,2015,10:00,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL,VOLCAMIENTO,1,0,NORTE,URBANO,EL SAGRARIO,S/D,,S/D,S/D,VEGA MU—OZ ENTRE BORRERO Y LUIS CORDERO,A,-2.893285,-79.002199,10219,MARTES
1848,18/8/2015,AGOSTO,2015,17:14,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO A VEH√çCULOS ,CHOQUE FRONTAL,1,0,S/D,URBANO,TOTORACOCHA,S/D,,S/D,S/D,HUAYNA CAPAC Y PASEO HUAGRA HUMA,D,-2.897802,-78.989934,10222,MARTES
1861,25/8/2015,AGOSTO,2015,18:20,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,SUR,URBANO,EL BATAN ,S/D,,S/D,S/D,LOJA Y REMIGIO TAMARIZ ,B,-2.900882,-79.014785,10351,MARTES
1904,17/9/2015,SEPTIEMBRE,2015,8:00,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,0,NORTE,RURAL,OCTAVIO CORDERO,S/D,,S/D,S/D,VIA A OCTAVIO CORDERO -LA RAYA,A,-2.784378,-78.957524,10768,JUEVES
1953,9/10/2015,OCTUBRE,2015,18:00,CASOS FORTUITOS,ATÕPICO,1,0,S/D,RURAL,SININCAY,S/D,,S/D,S/D,VIA LA PLAYA DEL CARMEN DE SININCAY,C,-2.899989,-79.032607,11140,VIERNES
2091,5/12/2015,DICIEMBRE,2015,17:41,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,PERDIDA DE PISTA ,1,1,SUR,URBANO,MONAY,S/D,,S/D,S/D,VIA A MONAY BAGUANCHI KM 4 1/2,A,-2.916347,-78.946591,12229,SABADO
2110,14/12/2015,DICIEMBRE,2015,17:44,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,SUR,RURAL,QUINGEO,S/D,,S/D,S/D,VIA A QUINGEO -BARRIO BUENOS AIRES ,B,-3.030700,-78.932181,12401,LUNES
2111,14/12/2015,DICIEMBRE,2015,16:20,NO GUARDAR LA DISTANCIA LATERAL ENTRE VEH√çCULOS,CHOQUE POR ALCANCE,1,0,SUR,URBANO,EL BATAN ,S/D,,S/D,S/D,REMIGIO CRESPO Y EDWIN SACOTO,B,-2.897383,-79.023816,12400,LUNES
2143,25/12/2015,DICIEMBRE,2015,19:27,IMPRUDENCIA DEL PEATON,ATROPELLO,1,0,NORTE,URBANO,EL VECINO,S/D,,S/D,S/D,AV. AMERICAS Y BOCINA,D,-2.885975,-78.994515,12636,VIERNES
2154,31/12/2015,DICIEMBRE,2015,18:05,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,0,SUR,URBANO,MONAY,S/D,,S/D,S/D,PUMAPUNGO Y EDUARDO MARQUINA ,B,-2.904930,-78.981570,12770,JUEVES
2178,10/1/2016,ENERO,2016,10:32,CONDUCIR EN SENTIDO CONTRARIO A LA VÕA,CHOQUE LATERAL,1,0,NORTE,RURAL,CHECA,S/D,,S/D,S/D,VIA A CHECA,A,-2.813268,-79.002516,#N/D,DOMINGO
2233,5/2/2016,FEBRERO,2016,6:57,EXCESO DE VELOCIDAD,CHOQUE LATERAL,1,0,SUR,URBANO,HUAYNA CAPAC,S/D,,S/D,S/D,27 DE FEBRERO Y FRANCISCO MOSCOSO,B,-2.915923,-79.001109,13570,VIERNES
2251,10/2/2016,FEBRERO,2016,3:46,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,CHOQUE LATERAL,1,1,NORTE,URBANO,EL VECINO,S/D,,S/D,S/D,MARIANO CUEVA Y EUGENIO ESPEJO,C,,,#N/D,MIERCOLES
2284,27/2/2016,FEBRERO,2016,19:45,EXCESO DE VELOCIDAD,PERDIDA DE PISTA ,1,4,SUR,RURAL,EL VALLE,S/D,,S/D,S/D,ADOLFO NICANOR ORTIZ VÕA A TUTUPALI GRANDE,D,-2.927476,-78.972297,14087,SABADO
2297,5/3/2016,MARZO,2016,1:00,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,ESTRELLAMIENTO,1,0,NORTE,URBANO,EL SAGRARIO,S/D,,S/D,S/D,ANTONIO RICAURTE Y PANAMERICANA NORTE,A,-2.902463,-79.002918,#N/D,SABADO
2307,8/3/2016,MARZO,2016,15:30,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,CHOQUE LATERAL,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,LOJA Y LUIS VELEZ ALVAREZ,A,-2.891033,-79.00686,14265,MARTES
2338,20/3/2016,MARZO,2016,20:57,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ARROLLAMIENTO,1,0,SUR,URBANO,HUAYNA CAPAC,S/D,,S/D,S/D,27 DE FEBRERO Y JACINTO FLORES,B,-2.912206,-78.986076,14507,DOMINGO
2375,8/4/2016,ABRIL,2016,18:25,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ARROLLAMIENTO,1,0,SUR,URBANO,EL VALLE,S/D,,S/D,S/D,CABECERA PARROQUIAL EL VALLE,A,-2.937920,-78.966512,14891,VIERNES
2455,18/5/2016,MAYO,2016,18:47,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ARROLLAMIENTO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,COLONIA Y VAZCO NU—EZ DE BALBOA,C,-2.918091,-79.025694,15675,MIERCOLES
2460,20/5/2016,MAYO,2016,18:00,EXCESO DE VELOCIDAD,ARROLLAMIENTO,1,0,NORTE,URBANO,EL VECINO,S/D,,S/D,S/D,AV. AM…RICAS Y BARRIAL BLANCO,C,-2.904403,-79.010934,15711,VIERNES
2476,28/5/2016,MAYO,2016,9:50,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL,CHOQUE LATERAL,1,0,NORTE,URBANO,SAN BLAS,S/D,,S/D,S/D,JOSE JOAQUIN DE OLMEDO Y HURTADO DE MENDOZA,B,-2.92223,-78.99755,15812,SABADO
2503,10/6/2016,JUNIO,2016,17:54,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ATROPELLO,1,0,S/D,URBANO,YANUNCAY,S/D,,S/D,S/D,12 DE OCTUBRE E ISABEL LA CATOLICA,B,-2.909590,-79.019098,16063,VIERNES
2525,17/6/2016,JUNIO,2016,14:04,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO AL PEAT”N ,ARROLLAMIENTO,1,0,S/D,RURAL,SAYAUSÕ,S/D,,S/D,S/D,GA√ëAL Y SAN MIGUEL DE PUTUSHI,D,,,#N/D,VIERNES
2562,4/7/2016,JULIO,2016,8:35,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO A VEH√çCULOS ,CHOQUE LATERAL,1,0,NORTE,URBANO,EL VECINO,S/D,,S/D,S/D,AV. AM…RICAS Y BARRIAL BLANCO,A,-2.884046,-78.990477,16419,LUNES
2670,6/9/2016,SEPTIEMBRE,2016,10:53,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO A VEH√çCULOS ,CHOQUE LATERAL,1,2,NORTE,URBANO,CA—ARIBAMBA,S/D,,S/D,S/D,PASEO DE LOS CA—ARIS ENTRE JORGE CARRERA Y CACIQUE  CHAMBA,A,-2.903007,-78.988225,17469,MARTES
2700,20/9/2016,SEPTIEMBRE,2016,17:36,NO RESPETA LAS SE√ëALES DE TR√ÅNSITO,PERDIDA DE PISTA ,1,0,SUR,RURAL,CUMBE,S/D,,S/D,S/D,CUMBE ,D,-3.086492,-79.011128,17678,MARTES
2773,1/11/2016,NOVIEMBRE,2016,23:30,CASOS FORTUITOS,PERDIDA DE PISTA ,2,19,SUR,RURAL,MOLLETURO,S/D,,S/D,S/D,VIA A SANTA TERESITA AL AZUAY,A,,,#N/D,MARTES
2803,17/11/2016,NOVIEMBRE,2016,8:36,EMBRIAGUEZ DEL PEAT”N,ARROLLAMIENTO,1,0,NORTE,URBANO,EL VECINO,S/D,,S/D,S/D,HUAYNA CAPAC Y PIO BRAVO,C,-2.893419,-78.996428,18494,JUEVES
2855,5/12/2016,DICIEMBRE,2016,0:56,MAL ESTADO DE LA VÕA ,PERDIDA DE PISTA ,1,2,NORTE,RURAL,HERMANO MIGUEL,S/D,,S/D,S/D,VIA A TUNALOMA,D,-2.866226,-78.983470,18801,LUNES
2863,13/12/2016,DICIEMBRE,2016,7:09,IMPRUDENCIA DEL PEATON,ARROLLAMIENTO,1,0,S/D,RURAL,SAYAUSÕ,S/D,,S/D,S/D,VIA A GUALALCAY - QUILLOPUNGO,D,-2.885255,-79.043132,18918,MARTES
2966,29/1/2017,ENERO,2017,7:37,CONDUCIR EN SENTIDO CONTRARIO A LA VÕA,VOLCAMIENTO,1,0,SUR,RURAL,EL VALLE,S/D,,S/D,S/D,VIA A EL VALLE - CHILCAPAMBA,D,-2.927466,-78.972297,19576,DOMINGO
2986,9/2/2017,FEBRERO,2017,20:45,NO CEDER EL DERECHO DE VÕA O PREFERENCIA DE PASO A VEH√çCULOS ,CHOQUE LATERAL,1,0,NORTE,URBANO,MACHANGARA,S/D,,BICICLETA,S/D,PANAMERICANA NORTE Y BATALLON GRANADEROS,A,-2.897954,-78.96086,19700,JUEVES
